№ плавки;Профиль;Диаметр профиля;Марка стали;Сечение заготовки;№ заготовки;Вес заготовки
2100828;Ø;11,5;SAE 1010;150x150;0;2199
2100828;Ø;11,5;SAE 1010;150x150;0;2158
2100828;Ø;11,5;SAE 1010;150x150;0;2204
2100828;Ø;11,5;SAE 1010;150x150;0;2190
2100828;Ø;11,5;SAE 1010;150x150;0;2184
2100828;Ø;11,5;SAE 1010;150x150;0;2189
2100828;Ø;11,5;SAE 1010;150x150;0;2212
2100828;Ø;11,5;SAE 1010;150x150;0;2212
2100828;Ø;11,5;SAE 1010;150x150;0;2204
2100828;Ø;11,5;SAE 1010;150x150;0;2198
2100828;Ø;11,5;SAE 1010;150x150;0;2208
2100828;Ø;11,5;SAE 1010;150x150;0;2171
2100828;Ø;11,5;SAE 1010;150x150;0;2171
2100828;Ø;11,5;SAE 1010;150x150;0;2189
2100828;Ø;11,5;SAE 1010;150x150;0;2209
2100828;Ø;11,5;SAE 1010;150x150;0;2199
2100828;Ø;11,5;SAE 1010;150x150;0;2170
2100828;Ø;11,5;SAE 1010;150x150;0;2152
2100828;Ø;11,5;SAE 1010;150x150;0;2193
2100828;Ø;11,5;SAE 1010;150x150;0;2184
2100828;Ø;11,5;SAE 1010;150x150;0;2209
2100828;Ø;11,5;SAE 1010;150x150;0;2166
2100828;Ø;11,5;SAE 1010;150x150;0;2192
2100828;Ø;11,5;SAE 1010;150x150;0;2192
2100828;Ø;11,5;SAE 1010;150x150;0;2189
2100828;Ø;11,5;SAE 1010;150x150;0;2207
2100828;Ø;11,5;SAE 1010;150x150;0;2195
2100828;Ø;11,5;SAE 1010;150x150;0;2186
2100828;Ø;11,5;SAE 1010;150x150;0;2187
2100828;Ø;11,5;SAE 1010;150x150;0;2177
2100828;Ø;11,5;SAE 1010;150x150;0;2201
2100828;Ø;11,5;SAE 1010;150x150;0;2193
2100828;Ø;11,5;SAE 1010;150x150;0;2199
2100828;Ø;11,5;SAE 1010;150x150;0;2205
2100828;Ø;11,5;SAE 1010;150x150;0;2194
2100828;Ø;11,5;SAE 1010;150x150;0;2195
2100828;Ø;11,5;SAE 1010;150x150;0;2166
2100828;Ø;11,5;SAE 1010;150x150;0;2187
2100828;Ø;11,5;SAE 1010;150x150;0;2164
2100828;Ø;11,5;SAE 1010;150x150;0;2196
2100828;Ø;11,5;SAE 1010;150x150;0;2190
2100828;Ø;11,5;SAE 1010;150x150;0;2181
2100828;Ø;11,5;SAE 1010;150x150;0;2203
2100828;Ø;11,5;SAE 1010;150x150;0;2184
2100828;Ø;11,5;SAE 1010;150x150;0;2167
2100828;Ø;11,5;SAE 1010;150x150;0;2204
2100828;Ø;11,5;SAE 1010;150x150;0;2187
2100828;Ø;11,5;SAE 1010;150x150;0;2195
2100828;Ø;11,5;SAE 1010;150x150;0;2195
2100828;Ø;11,5;SAE 1010;150x150;0;2180
2100828;Ø;11,5;SAE 1010;150x150;0;2207
2100828;Ø;11,5;SAE 1010;150x150;0;2202
2100828;Ø;11,5;SAE 1010;150x150;0;2196
2100828;Ø;11,5;SAE 1010;150x150;0;2190
2100828;Ø;11,5;SAE 1010;150x150;0;2209
2100828;Ø;11,5;SAE 1010;150x150;0;2190
2100828;Ø;11,5;SAE 1010;150x150;0;2161
2100828;Ø;11,5;SAE 1010;150x150;0;2182
2100828;Ø;11,5;SAE 1010;150x150;0;2206
2100828;Ø;11,5;SAE 1010;150x150;0;2193
2100828;Ø;11,5;SAE 1010;150x150;0;2193
2100828;Ø;11,5;SAE 1010;150x150;0;2192
2100828;Ø;11,5;SAE 1010;150x150;0;2171
2100828;Ø;11,5;SAE 1010;150x150;0;2181
2100828;Ø;11,5;SAE 1010;150x150;0;2187
