№ плавки;Профиль;Диаметр профиля;Марка стали;Сечение заготовки;№ заготовки;Вес заготовки;Время взвешивания
2100985;Ø;5,5;SAE 1006B;150x150;0;2145;01.02.2021 03:04:14
2100985;Ø;5,5;SAE 1006B;150x150;0;2172;01.02.2021 03:06:02
2100985;Ø;5,5;SAE 1006B;150x150;0;2176;01.02.2021 03:07:51
2100985;Ø;5,5;SAE 1006B;150x150;0;2158;01.02.2021 03:09:38
2100985;Ø;5,5;SAE 1006B;150x150;0;2171;01.02.2021 03:11:27
2100985;Ø;5,5;SAE 1006B;150x150;0;2180;01.02.2021 03:13:18
2100985;Ø;5,5;SAE 1006B;150x150;0;2150;01.02.2021 03:15:03
2100985;Ø;5,5;SAE 1006B;150x150;0;2179;01.02.2021 03:16:54
2100985;Ø;5,5;SAE 1006B;150x150;0;2167;01.02.2021 03:18:43
2100985;Ø;5,5;SAE 1006B;150x150;0;2189;01.02.2021 03:20:30
2100985;Ø;5,5;SAE 1006B;150x150;0;2159;01.02.2021 03:22:20
2100985;Ø;5,5;SAE 1006B;150x150;0;2173;01.02.2021 03:24:08
2100985;Ø;5,5;SAE 1006B;150x150;0;2173;01.02.2021 03:25:55
2100985;Ø;5,5;SAE 1006B;150x150;0;2172;01.02.2021 03:27:43
2100985;Ø;5,5;SAE 1006B;150x150;0;2177;01.02.2021 03:29:34
2100985;Ø;5,5;SAE 1006B;150x150;0;2162;01.02.2021 03:31:20
2100985;Ø;5,5;SAE 1006B;150x150;0;2182;01.02.2021 03:33:09
2100985;Ø;5,5;SAE 1006B;150x150;0;2182;01.02.2021 03:34:59
2100985;Ø;5,5;SAE 1006B;150x150;0;2167;01.02.2021 03:36:48
2100985;Ø;5,5;SAE 1006B;150x150;0;2171;01.02.2021 03:38:36
2100985;Ø;5,5;SAE 1006B;150x150;0;2163;01.02.2021 03:40:25
2100985;Ø;5,5;SAE 1006B;150x150;0;2172;01.02.2021 03:42:14
2100985;Ø;5,5;SAE 1006B;150x150;0;2164;01.02.2021 03:44:01
2100985;Ø;5,5;SAE 1006B;150x150;0;2167;01.02.2021 03:45:49
2100985;Ø;5,5;SAE 1006B;150x150;0;2178;01.02.2021 03:47:36
2100985;Ø;5,5;SAE 1006B;150x150;0;2182;01.02.2021 03:49:24
2100985;Ø;5,5;SAE 1006B;150x150;0;2170;01.02.2021 03:51:13
2100985;Ø;5,5;SAE 1006B;150x150;0;2175;01.02.2021 03:53:03
2100985;Ø;5,5;SAE 1006B;150x150;0;2176;01.02.2021 03:54:51
2100985;Ø;5,5;SAE 1006B;150x150;0;2164;01.02.2021 03:56:38
2100985;Ø;5,5;SAE 1006B;150x150;0;2168;01.02.2021 03:58:26
2100985;Ø;5,5;SAE 1006B;150x150;0;2166;01.02.2021 04:00:17
2100985;Ø;5,5;SAE 1006B;150x150;0;2165;01.02.2021 04:02:06
2100985;Ø;5,5;SAE 1006B;150x150;0;2165;01.02.2021 04:03:53
2100985;Ø;5,5;SAE 1006B;150x150;0;2169;01.02.2021 04:05:44
2100985;Ø;5,5;SAE 1006B;150x150;0;2171;01.02.2021 04:07:31
2100985;Ø;5,5;SAE 1006B;150x150;0;2171;01.02.2021 04:09:19
2100985;Ø;5,5;SAE 1006B;150x150;0;2185;01.02.2021 04:11:09
2100985;Ø;5,5;SAE 1006B;150x150;0;2175;01.02.2021 04:12:55
2100985;Ø;5,5;SAE 1006B;150x150;0;2168;01.02.2021 04:14:42
