№ плавки;Профиль;Диаметр профиля;Марка стали;Сечение заготовки;№ заготовки;Вес заготовки
2100825;Ø;11,5;SAE 1010;150x150;0;2159
2100825;Ø;11,5;SAE 1010;150x150;0;2194
2100825;Ø;11,5;SAE 1010;150x150;0;2194
2100825;Ø;11,5;SAE 1010;150x150;0;2201
2100825;Ø;11,5;SAE 1010;150x150;0;2194
2100825;Ø;11,5;SAE 1010;150x150;0;2177
2100825;Ø;11,5;SAE 1010;150x150;0;2164
2100825;Ø;11,5;SAE 1010;150x150;0;2158
2100825;Ø;11,5;SAE 1010;150x150;0;2178
2100825;Ø;11,5;SAE 1010;150x150;0;2184
2100825;Ø;11,5;SAE 1010;150x150;0;2162
2100825;Ø;11,5;SAE 1010;150x150;0;2144
2100825;Ø;11,5;SAE 1010;150x150;0;2176
2100825;Ø;11,5;SAE 1010;150x150;0;2187
2100825;Ø;11,5;SAE 1010;150x150;0;2195
2100825;Ø;11,5;SAE 1010;150x150;0;2173
2100825;Ø;11,5;SAE 1010;150x150;0;2188
2100825;Ø;11,5;SAE 1010;150x150;0;2179
2100825;Ø;11,5;SAE 1010;150x150;0;2193
2100825;Ø;11,5;SAE 1010;150x150;0;2180
2100825;Ø;11,5;SAE 1010;150x150;0;2175
2100825;Ø;11,5;SAE 1010;150x150;0;2159
2100825;Ø;11,5;SAE 1010;150x150;0;2162
2100825;Ø;11,5;SAE 1010;150x150;0;2188
2100825;Ø;11,5;SAE 1010;150x150;0;2207
2100825;Ø;11,5;SAE 1010;150x150;0;2201
2100825;Ø;11,5;SAE 1010;150x150;0;2186
2100825;Ø;11,5;SAE 1010;150x150;0;2186
2100825;Ø;11,5;SAE 1010;150x150;0;2175
2100825;Ø;11,5;SAE 1010;150x150;0;2175
2100825;Ø;11,5;SAE 1010;150x150;0;2169
2100825;Ø;11,5;SAE 1010;150x150;0;2181
2100825;Ø;11,5;SAE 1010;150x150;0;2204
2100825;Ø;11,5;SAE 1010;150x150;0;2200
2100825;Ø;11,5;SAE 1010;150x150;0;2172
2100825;Ø;11,5;SAE 1010;150x150;0;2147
2100825;Ø;11,5;SAE 1010;150x150;0;2171
2100825;Ø;11,5;SAE 1010;150x150;0;2161
2100825;Ø;11,5;SAE 1010;150x150;0;2176
2100825;Ø;11,5;SAE 1010;150x150;0;2189
2100825;Ø;11,5;SAE 1010;150x150;0;2194
2100825;Ø;11,5;SAE 1010;150x150;0;2202
2100825;Ø;11,5;SAE 1010;150x150;0;2202
2100825;Ø;11,5;SAE 1010;150x150;0;2170
2100825;Ø;11,5;SAE 1010;150x150;0;2182
2100825;Ø;11,5;SAE 1010;150x150;0;2159
2100825;Ø;11,5;SAE 1010;150x150;0;2157
2100825;Ø;11,5;SAE 1010;150x150;0;2186
2100825;Ø;11,5;SAE 1010;150x150;0;2192
2100825;Ø;11,5;SAE 1010;150x150;0;2181
2100825;Ø;11,5;SAE 1010;150x150;0;2174
2100825;Ø;11,5;SAE 1010;150x150;0;2170
2100825;Ø;11,5;SAE 1010;150x150;0;2172
2100825;Ø;11,5;SAE 1010;150x150;0;2166
2100825;Ø;11,5;SAE 1010;150x150;0;2191
2100825;Ø;11,5;SAE 1010;150x150;0;2201
2100825;Ø;11,5;SAE 1010;150x150;0;2197
2100825;Ø;11,5;SAE 1010;150x150;0;2196
2100825;Ø;11,5;SAE 1010;150x150;0;2189
2100825;Ø;11,5;SAE 1010;150x150;0;2174
