№ плавки;Профиль;Диаметр профиля;Марка стали;Сечение заготовки;№ заготовки;Вес заготовки;Время взвешивания
2101097;Ø;5,5;SAE 1006;150x150;1;2171;06.02.2021 13:49:10
2101097;Ø;5,5;SAE 1006;150x150;2;2192;06.02.2021 13:50:59
2101097;Ø;5,5;SAE 1006;150x150;3;2156;06.02.2021 13:52:47
2101097;Ø;5,5;SAE 1006;150x150;4;2155;06.02.2021 13:54:35
2101097;Ø;5,5;SAE 1006;150x150;5;2187;06.02.2021 13:56:21
2101097;Ø;5,5;SAE 1006;150x150;6;2165;06.02.2021 13:58:08
2101097;Ø;5,5;SAE 1006;150x150;7;2156;06.02.2021 13:59:55
2101097;Ø;5,5;SAE 1006;150x150;8;2175;06.02.2021 14:01:43
2101097;Ø;5,5;SAE 1006;150x150;9;2194;06.02.2021 14:03:34
2101097;Ø;5,5;SAE 1006;150x150;10;2153;06.02.2021 14:05:20
2101097;Ø;5,5;SAE 1006;150x150;11;2162;06.02.2021 14:07:08
2101097;Ø;5,5;SAE 1006;150x150;12;2172;06.02.2021 14:08:55
2101097;Ø;5,5;SAE 1006;150x150;13;2154;06.02.2021 14:10:42
2101097;Ø;5,5;SAE 1006;150x150;14;2174;06.02.2021 14:12:34
2101097;Ø;5,5;SAE 1006;150x150;15;2172;06.02.2021 14:14:18
2101097;Ø;5,5;SAE 1006;150x150;16;2168;06.02.2021 14:16:05
2101097;Ø;5,5;SAE 1006;150x150;17;2172;06.02.2021 14:17:56
2101097;Ø;5,5;SAE 1006;150x150;18;2175;06.02.2021 14:19:43
2101097;Ø;5,5;SAE 1006;150x150;19;2186;06.02.2021 14:21:32
2101097;Ø;5,5;SAE 1006;150x150;20;2199;06.02.2021 14:23:21
2101097;Ø;5,5;SAE 1006;150x150;21;2163;06.02.2021 14:25:05
2101097;Ø;5,5;SAE 1006;150x150;22;2168;06.02.2021 14:26:56
2101097;Ø;5,5;SAE 1006;150x150;23;2192;06.02.2021 14:28:41
2101097;Ø;5,5;SAE 1006;150x150;24;2178;06.02.2021 14:30:28
2101097;Ø;5,5;SAE 1006;150x150;25;2166;06.02.2021 14:32:16
2101097;Ø;5,5;SAE 1006;150x150;26;2180;06.02.2021 14:34:04
2101097;Ø;5,5;SAE 1006;150x150;27;2156;06.02.2021 14:35:57
2101097;Ø;5,5;SAE 1006;150x150;28;2164;06.02.2021 14:37:40
2101097;Ø;5,5;SAE 1006;150x150;29;2169;06.02.2021 14:39:27
2101097;Ø;5,5;SAE 1006;150x150;1;2158;06.02.2021 14:41:15
2101097;Ø;5,5;SAE 1006;150x150;2;2154;06.02.2021 14:43:03
2101097;Ø;5,5;SAE 1006;150x150;3;2164;06.02.2021 14:44:50
2101097;Ø;5,5;SAE 1006;150x150;4;2185;06.02.2021 14:46:38
2101097;Ø;5,5;SAE 1006;150x150;5;2171;06.02.2021 14:48:26
2101097;Ø;5,5;SAE 1006;150x150;6;2183;06.02.2021 14:50:14
2101097;Ø;5,5;SAE 1006;150x150;7;2168;06.02.2021 14:52:02
2101097;Ø;5,5;SAE 1006;150x150;8;2152;06.02.2021 14:53:48
2101097;Ø;5,5;SAE 1006;150x150;9;2159;06.02.2021 14:55:37
2101097;Ø;5,5;SAE 1006;150x150;10;2183;06.02.2021 14:57:23
2101097;Ø;5,5;SAE 1006;150x150;11;2166;06.02.2021 14:59:11
2101097;Ø;5,5;SAE 1006;150x150;12;2172;06.02.2021 16:33:43
2101097;Ø;5,5;SAE 1006;150x150;13;2194;06.02.2021 16:38:55
2101097;Ø;5,5;SAE 1006;150x150;14;2172;06.02.2021 16:41:19
2101097;Ø;5,5;SAE 1006;150x150;15;2151;06.02.2021 16:43:17
2101097;Ø;5,5;SAE 1006;150x150;16;2184;06.02.2021 16:45:13
2101097;Ø;5,5;SAE 1006;150x150;17;2165;06.02.2021 16:47:08
2101097;Ø;5,5;SAE 1006;150x150;18;2170;06.02.2021 16:49:00
2101097;Ø;5,5;SAE 1006;150x150;19;2170;06.02.2021 16:50:52
2101097;Ø;5,5;SAE 1006;150x150;20;2177;06.02.2021 16:52:45
2101097;Ø;5,5;SAE 1006;150x150;21;2170;06.02.2021 16:54:37
2101097;Ø;5,5;SAE 1006;150x150;22;2173;06.02.2021 16:56:28
2101097;Ø;5,5;SAE 1006;150x150;23;2190;06.02.2021 16:58:20
2101097;Ø;5,5;SAE 1006;150x150;24;2180;06.02.2021 17:00:11
2101097;Ø;5,5;SAE 1006;150x150;25;2180;06.02.2021 17:02:01
2101097;Ø;5,5;SAE 1006;150x150;26;2189;06.02.2021 17:03:51
2101097;Ø;5,5;SAE 1006;150x150;27;2186;06.02.2021 17:05:39
2101097;Ø;5,5;SAE 1006;150x150;28;2155;06.02.2021 17:07:29
2101097;Ø;5,5;SAE 1006;150x150;29;2169;06.02.2021 17:09:19
2101097;Ø;5,5;SAE 1006;150x150;30;2171;06.02.2021 17:11:09
2101097;Ø;5,5;SAE 1006;150x150;31;2166;06.02.2021 17:12:58
2101097;Ø;5,5;SAE 1006;150x150;32;2188;06.02.2021 17:14:49
2101097;Ø;5,5;SAE 1006;150x150;33;2181;06.02.2021 17:16:38
2101097;Ø;5,5;SAE 1006;150x150;34;2156;06.02.2021 17:18:27
2101097;Ø;5,5;SAE 1006;150x150;35;2159;06.02.2021 17:20:17
